VentureID,Type of venture,Retranscriber,Perspective of source,Nationality,Source,Date of primary source,Name of the ship,Name of the captain,Name of investor,Name of outfitter,Number of voyages,Internal crossref,Voyage-ID in TSTD,Place of outfitting,Place of purchase,Place of disembarkation,Date of departure from port of outfitting ,Date trade began in Africa,Date of departure from Africa,Date vessel arrived with slaves,Date of return to port of outfitting ,Number of slaves purchased,Number of slaves sold,Share of the ship,Complete data on outlays?,Complete data on returns?,Profits reported in source,Fate,Various remarks
DR001,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 27 & 109,,Frodsham,,"Torre, Nicholas",,1,,24942,,Bonny,,,,,,,,,0.125,yes,with estimates,,,
DR002,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 27 & 109,,Cumberland,,"Torre, Nicholas",,1,,90188,,Gambia,,,,,,,,,0.083,yes,yes,,,
DR003,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 109,,Polly,,"Torre, Nicholas",,1,,90408,,Angola,,,,,,,,,0.25,yes,yes,,,
DR004,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 103 & 109. 266,,Swallow,,"Torre, Nicholas",,1,,90437,,,,,,,,,,,0.125,yes,yes,,,
DR005,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 109,,Cumberland,John Griffin,"Torre, Nicholas",,1,,90187,,Gambia,,,,,,,,,0.083,yes,yes,,,
DR006,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 39. 109,,Hardman,,"Torre, Nicholas",,1,,90151,,Africa,,,,,,,,,0.17,yes,yes,,,
DR007,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109. 190,,Marquis of Rockingham,,"Torre, Nicholas",,1,,90335,,Windward Coast,,,,,,,,,0.375,yes,yes,,,
DR008,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109,,Hardman,,"Torre, Nicholas",,1,,90152,,Africa,,,,,,,,,0.17,yes,yes,,,
DR009,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109. 123. 235,,Marquis of Rockingham,,"Torre, Nicholas",,1,,90334,,Windward Coast & Gold Coast,,,,,,,,,0.375,yes,yes,,,
DR010,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  66. 109,,Frodsham,,"Torre, Nicholas",,1,,24909,,Angola,,,,,,,,,0.125,yes,yes,,,
DR011,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109. 126,,Frodsham,,"Torre, Nicholas",,1,,24918,,Angola,,,,,,,,,0.17,yes,yes,,,
DR012,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109. 124,,York,,"Torre, Nicholas",,2,,90468 / 90470,,Angola,,,,,,,,,0.25,yes,yes,,,
DR013,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109,,Hardman,,"Torre, Nicholas",,1,,90150,,Africa,,,,,,,,,0.17,with estimates,yes,,,
DR014,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109,,York,,"Torre, Nicholas",,1,,90469,,Angola,,,,,,,,,0.25,yes,yes,,,
DR015,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1788/17",,Ruby,,"Rogers, James",,1,,18029,,,,1788,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR016,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/13",,Flora,,"Rogers, James",,1,,18070,,,,1790,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR017,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/8",,Daniel,,"Rogers, James",,1,,18066,,,,1790,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR018,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/8",,Daniel,,"Rogers, James",,1,,18096,,,,1791,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR019,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/22",,Pearl,,"Rogers, James",,1,,18002,,,,1787,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR020,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/24",,Rodney,,"Rogers, James",,1,,18117,,,,1790,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR021,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1789/9",,Crescent,,"Rogers, James",,1,,18040,,,,1789,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR022,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1789/23 and 1789/19",,Sarah / Nimble,,"Rogers, James",,2,,18054,,,,1789,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR023,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1784/12",,Sally,,"Rogers, James",,1,,17942,,,,1784,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR024,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1783/14",,Sally,,"Rogers, James",,1,,17929,,,,1783,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR025,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1783/11",,Little Pearl / Pearl,,"Rogers, James",,2,,17924 / 17926,,,,1783,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR026,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/26",,Ruby,,"Rogers, James",,1,,18006,,,,1787,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR027,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/17",,Juba,,"Rogers, James",,1,,17997,,,,1787,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR028,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1746/7",,Jason,,,,1,,17157,,,,1746,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR029,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/13",,Jason,,,,1,,17207,,,,1748,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR030,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1750/13",,Jason,,,,1,,17268,,,,1750,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR031,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Bridgett,,,,1,,16613,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR032,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Bridgett,,,,1,,16713,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR033,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Dreadnought,,,,1,,16618,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR034,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Nightingale,,,,1,,16641,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR035,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Nightingale,,,,1,,16690,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR036,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Nightingale,,,,1,,16770,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR037,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Nightingale,,,,1,,16834,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR038,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Nightingale,,,,1,,16867,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR039,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1751/19",,Molly,,,,1,,17296,,,,1751,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR040,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1752/19",,Molly,,,,1,,17323,,,,1752,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR041,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1754/7",,Emperor,,,,1,,17363,,,,1754,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR042,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1759/24",,Swift,,,,1,,17470,,,,1759,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR043,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1770/12",,Hector,,,,1,,17753,,,,1770,,,,,,,1,with estimates,with estimates,,,"No data on insurance, no residual value of ship on return"
DR044,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1771/11",,Hector,,,,1,,17780,,,,1771,,,,,,,1,with estimates,with estimates,,,"No data on insurance, no ship value out or in"
DR045,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1773/13",,Ambris / Hector,,,,2,,17825 / 17836,,,,1773,,,,,,,1,with estimates,with estimates,,,"No data on insurance, no ship value out or in"
DR046,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1774/1",,Africa,,,,1,,17846,,,,1774,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR047,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1776/1",,Africa,,,,1,,,,,,1776,,,,,,,1,with estimates,yes,,3,Insurance rates imputed from previous research on insurance rates
DR048,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1774/12",,Jason,,,,1,,17857,,,,1774,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR049,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1774/14",,King George,,,,1,,17859,,,,1774,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR050,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Priscilla,,"Goad, John",,1,,90211,,,,,,,,,,,0.0625,yes,with estimates,,,
DR051,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Priscilla,,"Goad, John",,1,,,,,,1751-09,,,,,,,0.0625,no,no,,4,"No insurance costs, no return estimates"
DR052,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Sea Nymph,,"Goad, John",,1,,90624,,,,,,,,,,,0.0625,with estimates,with estimates,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.
DR053,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,True Blue,,"Goad, John",,1,,90342,,,,,,,,,,,0.0625,with estimates,with estimates,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.
DR054,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Barclay,,"Goad, John",,1,,90447,,,,,,,,,,,0.03125,with estimates,with estimates,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.
DR055,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Ferret,,"Goad, John",,1,,90565,,,,,,,,,,,0.042,with estimates,with estimates,,,Value of ship imputed from value of cargo.
DR056,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Ferret,,"Goad, John",,1,,90566,,,,,,,,,,,0.042,with estimates,with estimates,,,Value of ship imputed from previous voyage
DR057,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Ferret,,"Goad, John",,1,,90567,,,,,,,,,,,0.042,with estimates,yes,,,Value of ship imputed from previous voyage
DR058,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Snapper,,"Goad, John",,1,,90687,,,,,,,,,,,0.17,with estimates,with estimates,,,Value of ship imputed from previous voyage
DR059,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Snapper,,"Goad, John",,1,,90688,,,,,,,,,,,0.17,with estimates,yes,,,
DR060,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Snapper,,"Goad, John",,1,,90792,,,,,,,,,,,0.17,with estimates,yes,,,Value of ship imputed from previous voyage
DR061,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Snapper,,"Goad, John",,1,,90793,,,,,,,,,,,0.17,with estimates,yes,,,Value of ship imputed from previous voyage
DR062,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Rose,,"Goad, John",,1,,90747,,,,,,,,,,,0.042,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.
DR063,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,True Blue,,"Goad, John",,1,,,,,,1758,,,,,,,0.0625,yes,yes,,1,"Cannot find matching entry in TSTD. Year has been assumed, based on the dating of the following voyage."
DR064,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,True Blue,,"Goad, John",,1,,90763,,,,,,,,,,,0.0625,with estimates,with estimates,,,
DR065,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,True Blue,,"Goad, John",,1,,90764,,,,,,,,,,,0.0625,with estimates,yes,,,Value of ship imputed from residual after voyage
DR066,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Essex,,"Goad, John",,1,,90813,,,,,,,,,,,0.083,with estimates,yes,,,Value of ship imputed from residual after voyage
DR067,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Essex,,"Goad, John",,1,,90814,,,,,,,,,,,0.083,with estimates,yes,,,Value of ship imputed from previous voyage
DR068,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Apollo,,,,1,,91112,,,,1764-08-07,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.
DR069,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Nelly and Nancy,,,,1,,91145,,,,,,,,,,,1,with estimates,with estimates,,,Insurance rates imputed from previous research on insurance rates. Ship in imputed from residual value of ship.
DR070,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Captain,,"Goad, John",,1,,91014,,,,,,,,,,,1,with estimates,with estimates,,,
DR071,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,91130,,,,1766,,,,,,,1,yes,yes,,,
DR072,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,91131,,,,1769,,,,,,,1,yes,yes,,,
DR073,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,91592,,,,1770,,,,,,,1,yes,yes,,,
DR074,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,,,,,1770,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD
DR075,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,91593,,,,1771,,,,,,,1,yes,yes,,,
DR076,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,,,,,1771,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD
DR077,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Blackjoke,,,,1,,91134,,,,1764,,,,,,,1,yes,yes,,,
DR078,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Blackjoke,,,,1,,91135,,,,1766,,,,,,,1,yes,yes,,,
DR079,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Blackjoke,,,,1,,91299,,,,1767,,,,,,,1,yes,yes,,,
DR080,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Hope,,,,1,,,,,,1763,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD
DR081,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Hope,,,,1,,,,,,1764,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD
DR082,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,,,,,1762,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD
DR083,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,91186,,,,1766,,,,,,,1,yes,yes,,,
DR084,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,91187,,,,1768,,,,,,,1,yes,yes,,,
DR085,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,,,,,1768,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD
DR086,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,91188,,,,1769,,,,,,,1,yes,yes,,,
DR087,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,91189,,,,1770,,,,,,,1,yes,yes,,,
DR088,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,90853,,,,1762,,,,,,,1,yes,yes,,,
DR089,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,90854,,,,1763,,,,,,,1,yes,yes,,,
DR090,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91192,,,,1768,,,,,,,1,yes,yes,,,
DR091,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91193,,,,1768,,,,,,,1,yes,yes,,,
DR092,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91194,,,,1769,,,,,,,1,yes,yes,,,
DR093,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91713,,,,1771,,,,,,,1,yes,yes,,,
DR094,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91715,,,,1773,,,,,,,1,yes,yes,,,
DR095,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Nanny,,,,1,,91772,,,,1771,,,,,,,1,yes,yes,,,
DR096,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,91841,,,,1773,,,,,,,1,yes,yes,,,
DR097,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Hope,,,,1,,,,,,1772,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD
DR098,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,91185,,,,1765,,,,,,,1,yes,yes,,,
DR099,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91714,,,,1772,,,,,,,1,yes,yes,,,
DR100,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Nanny,,,,1,,91773,,,,1772,,,,,,,1,yes,yes,,,
DR101,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Ferret,,"Goad, John",,1,,90795,,,,,,,,,,,0.125,yes,with estimates,,,
