VentureID,Type of venture,Retranscriber,Perspective of source,Nationality,Source,Date of primary source,Name of the ship,Name of the captain,Name of investor,Name of outfitter,Number of voyages,Internal crossref,Voyage-ID in TSTD,Place of outfitting,Place of purchase,Place of disembarkation,Date of departure from port of outfitting ,Date trade began in Africa,Date of departure from Africa,Date vessel arrived with slaves,Date of return to port of outfitting ,Number of slaves purchased,Number of slaves sold,Share of the ship,Complete data on outlays?,Complete data on returns?,Profits reported in source,Fate,Various remarks
NR071,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dreadnought,,"Davenport, William",Edward Chaffers,1,,91838,,Calabar,,,,,,,,,0.3125,yes,with estimates,0.342809364548495,,Includes estimates imputed by Nick Radburn
NR072,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,King of Prussia,,"Davenport, William",Thomas Staniforth,1,,91894,,Cameroons,,,,,,,,,0.125,yes,with estimates,0.393790849673203,,Includes estimates imputed by Nick Radburn
NR073,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Badger,,"Davenport, William",William Davenport,1,,91814,,Cameroons,,,,,,,,,0.333333,yes,yes,0.186275570949237,,
NR074,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Sam,,"Davenport, William",Thomas Staniforth,1,,91937,,Cameroons,,,,,,,,,0.125,with estimates,with estimates,-0.256682073954984,,Includes estimates imputed by Nick Radburn
NR075,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Favourite,,"Davenport, William",Alexander Nottingham,1,,91978,,Cameroons,,1775-04-20,,,,,,,0.125,yes,yes,-0.366879769024541,,
NR076,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,King of Prussia,,"Davenport, William",Thomas Staniforth,1,,91895,,Cameroons,,,,,,,,,0.125,with estimates,with estimates,-0.0681139755766621,,Includes estimates imputed by Nick Radburn
NR077,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dreadnought,,"Davenport, William",William Davenport,1,,91839,,Calabar,,,,,,,,,0.375,with estimates,yes,-0.138668740708653,,Includes estimates imputed by Nick Radburn
NR078,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Badger [New],,"Davenport, William",William Davenport,1,,92536,,Cameroons River,,,,,,,,,0.333333,yes,yes,-0.65,,
NR079,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Mars,,"Davenport, William",William Earle,1,,92461,,Sierra Leone,,,,,,,,,0.1,with estimates,with estimates,0.711755233494364,,Includes estimates imputed by Nick Radburn
NR080,Voyage,Klas Rönnbäck,Investor,English,Hyde et al 1953 plus Nick Radburn’s research on the Davenport papers,,Hawke,,"Davenport, William",William Davenport,1,,92462,,Cameroons River,,,,,,,,,0.1,yes,yes,0.850026997840173,,
NR081,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Ann,,"Davenport, William",,1,,92465,,Windward Coast,,,,,,,,,0.2,with estimates,with estimates,0.178424938474159,,
NR082,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Preston,,"Davenport, William",William Earle,1,,83174,,Cameroons,,,,,,,,,0.2,yes,yes,0.128295619680299,,
NR083,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Mars,,"Davenport, William",William Earle,1,,82482,,Sierra Leone,,,,,,,,,0.2,with estimates,with estimates,0.354390606912518,,Includes estimates imputed by Nick Radburn
NR084,Voyage,Klas Rönnbäck,Investor,English,Hyde et al 1953 plus Nick Radburn’s research on the Davenport papers,,Hawke,,"Davenport, William",William Davenport,1,,81753,,Cameroons,,,,,,,,,0.2,with estimates,yes,1.72941653160454,,Insurance rates imputed from previous research on insurance rates
NR085,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Preston,,"Davenport, William",William Earle,1,,83175,,Cameroons,,,,,,,,,0.2,yes,yes,0.363717445594006,,
NR086,Voyage,Klas Rönnbäck,Investor,English,Hyde et al 1953 plus Nick Radburn’s research on the Davenport papers,,Hawke,,"Davenport, William",William Davenport,1,,81754,,Cameroons,,,,,,,,,0.2,yes,with estimates,-0.366755555555556,,Includes estimates imputed by Nick Radburn
NR087,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Rover,,"Davenport, William",Thomas Staniforth,1,,83413,,Cameroons,,,,,,,,,0.166667,yes,yes,-0.122620005363368,,
NR088,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Quixote,,"Davenport, William",Thomas Parke,1,,83266,,Calabar,,,,,,,,,0.125,yes,with estimates,0.545747048577511,,
NR089,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Preston,,"Davenport, William",Thomas Earle,1,,83176,,Cameroons,,,,,,,,,0.2,with estimates,with estimates,-0.151450053705693,,Includes estimates imputed by Nick Radburn
NR090,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Quixote,,"Davenport, William",Thomas Parke,1,,83267,,Calabar,,,,,,,,,0.125,with estimates,yes,0.0651676277129032,,Includes estimates imputed by Nick Radburn
NR091,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Ann,,"Davenport, William",John Copeland,1,,80251,,Windward Coast,,,,,,,,,0.2,with estimates,with estimates,-0.0519,,
NR093,Voyage,Klas Rönnbäck,Investor,English,Original sources received from Nick Radburn,,Ann,,"Davenport, William",Thomas Earle,1,,80253,,,,,,,,,,,0.25,with estimates,with estimates,0.47,,Includes estimates imputed based on same assumptions as Nick Radburn’s study
NR094,Voyage,Klas Rönnbäck,Investor,English,Original sources received from Nick Radburn,,Bee,,"Davenport, William",,1,,80458,,,,,,,,,,,0.2,with estimates,yes,0.13,,Includes estimates imputed based on same assumptions as Nick Radburn’s study
NR095,Voyage,Klas Rönnbäck,Investor,English,Original sources received from Nick Radburn,,Bee,,"Davenport, William",Thomas Parke,1,,82324,,,,,,,,,,,0.1875,with estimates,with estimates,0.72,,Includes estimates imputed based on same assumptions as Nick Radburn’s study
NR096,Voyage,Klas Rönnbäck,Investor,English,Original sources received from Nick Radburn,,Liverpool Hero,,"Davenport, William",Thomas Parke,1,,82325,,,,,,,,,,,0.125,with estimates,with estimates,0.57,,Includes estimates imputed based on same assumptions as Nick Radburn’s study
DR102,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/13",,Fanny,,"Rogers, James",,1,,18139,,,,1792,,,,,,,1,with estimates,with estimates,,,
DR103,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/26",,Mermaid,,"Rogers, James",,1,,18152,,,,1792,,,,,,,1,with estimates,with estimates,,,
DR104,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/2",,Alexander,,,,1,,17196,,,,1748,,,,,,,1,with estimates,no,,,
DR105,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/3",,Amoretta,,,,1,,17197,,,,1748,,,,,,,1,with estimates,no,,,
DR106,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/4",,Antelope,,,,1,,17198,,,,1748,,,,,,,1,with estimates,no,,,
DR107,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/5",,Bonny,,,,1,,17199,,,,1748,,,,,,,1,with estimates,no,,,
DR108,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/7",,Culloden,,,,1,,17201,,,,1748,,,,,,,1,with estimates,no,,,
DR109,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/11",,Jamaica Pacquet,,,,1,,17205,,,,1748,,,,,,,1,with estimates,no,,,
DR110,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/12",,Jason,,,,1,,17206,,,,1748,,,,,,,1,with estimates,no,,,
DR111,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/14",,Levant,,,,1,,17208,,,,1748,,,,,,,1,with estimates,no,,,
DR112,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/19",,Phoenix,,,,1,,17213,,,,1748,,,,,,,1,with estimates,no,,,
DR113,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/23",,Southwell,,,,1,,17217,,,,1748,,,,,,,1,with estimates,no,,,
DR114,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/24",,Spy,,,,1,,17218,,,,1748,,,,,,,1,with estimates,no,,,
DR115,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/26",,Swift,,,,1,,17220,,,,1748,,,,,,,1,with estimates,no,,,
DR116,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/27",,Sybylla,,,,1,,17221,,,,1748,,,,,,,1,with estimates,no,,,
DR117,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/29",,Triton,,,,1,,17223,,,,1748,,,,,,,1,with estimates,no,,,
DR118,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/30",,Tryall,,,,1,,17224,,,,1748,,,,,,,1,with estimates,no,,,
DR119,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/32",,Williamsburgh,,,,1,,17226,,,,1748,,,,,,,1,with estimates,no,,,
DR120,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/1",,Africa,,,,1,,17227,,,,1749,,,,,,,1,with estimates,no,,,
DR121,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/2",,Ann,,,,1,,17228,,,,1749,,,,,,,1,with estimates,no,,,
DR122,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/3",,Baltimore,,,,1,,17229,,,,1749,,,,,,,1,with estimates,no,,,
DR123,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/4",,Chard,,,,1,,17230,,,,1749,,,,,,,1,with estimates,no,,,
DR124,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/5",,Charming Betty,,,,1,,17231,,,,1749,,,,,,,1,with estimates,no,,,
DR125,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/6",,Duke of Queensbury,,,,1,,17232,,,,1749,,,,,,,1,with estimates,no,,,
DR126,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/7",,Earl of Radnor,,,,1,,17233,,,,1749,,,,,,,1,with estimates,no,,,
DR127,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/8",,Emperor,,,,1,,17234,,,,1749,,,,,,,1,with estimates,no,,,
DR128,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/9",,Fly,,,,1,,17235,,,,1749,,,,,,,1,with estimates,no,,,
DR129,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/10",,Greyhound,,,,1,,17236,,,,1749,,,,,,,1,with estimates,no,,,
DR130,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/11",,Hawk,,,,1,,17237,,,,1749,,,,,,,1,with estimates,no,,,
DR131,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/12",,Hope,,,,1,,17238,,,,1749,,,,,,,1,with estimates,no,,,
DR132,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/13",,Hound,,,,1,,17239,,,,1749,,,,,,,1,with estimates,no,,,
DR133,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/14",,Indian Prince,,,,1,,17240,,,,1749,,,,,,,1,with estimates,no,,,
DR134,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/15",,John and Martha,,,,1,,17241,,,,1749,,,,,,,1,with estimates,no,,,
DR135,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/16",,Juno,,,,1,,17242,,,,1749,,,,,,,1,with estimates,no,,,
DR136,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/17",,King David,,,,1,,17243,,,,1749,,,,,,,1,with estimates,no,,,
DR137,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/19",,Matilda,,,,1,,17245,,,,1749,,,,,,,1,with estimates,no,,,
DR138,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/20",,Molly,,,,1,,17246,,,,1749,,,,,,,1,with estimates,no,,,
DR139,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/21",,Planter,,,,1,,17247,,,,1749,,,,,,,1,with estimates,no,,,
DR140,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/22",,Polly,,,,1,,17248,,,,1749,,,,,,,1,with estimates,no,,,
DR141,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/23",,Rainbow,,,,1,,17249,,,,1749,,,,,,,1,with estimates,no,,,
DR142,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/24",,Roebuck,,,,1,,17250,,,,1749,,,,,,,1,with estimates,no,,,
DR143,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/25",,Success,,,,1,,17251,,,,1749,,,,,,,1,with estimates,no,,,
DR144,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/26",,Susanna,,,,1,,17252,,,,1749,,,,,,,1,with estimates,no,,,
DR145,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/28",,Sylvia,,,,1,,17254,,,,1749,,,,,,,1,with estimates,no,,,
DR146,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/29",,Two Brothers,,,,1,,17255,,,,1749,,,,,,,1,with estimates,no,,,
DR147,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1750/5",,Cornwall,,,,1,,17260,,,,1750,,,,,,,1,with estimates,no,,,
DR148,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1780/4",,Tartar,,,,1,,17902,,,,1780,,,,,,,1,with estimates,no,,,
DR149,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1783/9",,Little Pearl,,,,1,,17924,,,,1783,,,,,,,1,with estimates,no,,,
DR150,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1785/10",,Little Pearl,,,,1,,17955,,,,1785,,,,,,,1,with estimates,no,,,
DR151,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1785/12",,Pearl,,,,1,,17957,,,,1785,,,,,,,1,no,no,,,
DR152,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1786/4",,Alexander,,,,1,,17964,,,,1786,,,,,,,1,no,no,,,
DR153,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1786/7",,Emelia,,,,1,,17967,,,,1786,,,,,,,1,no,no,,,
DR154,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1786/9",,Fly,,,,1,,17969,,,,1786,,,,,,,1,no,no,,,
DR155,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/13",,Fly,,,,1,,17993,,,,1787,,,,,,,1,no,no,,,
DR156,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/19",,Lion,,,,1,,17999,,,,1787,,,,,,,1,no,no,,,
DR157,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/25",,Royal Charlotte,,,,1,,18005,,,,1787,,,,,,,1,no,no,,,
DR158,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1788/5",,Fly,,,,1,,18276,,,,1788,,,,,,,1,no,no,,,
DR159,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1788/9",,Jupiter,,,,1,,18021,,,,1788,,,,,,,1,no,no,,,
DR160,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/9",,Dragon,,,,1,,18067,,,,1790,,,,,,,1,with estimates,no,,,
DR161,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/12",,Fame,,,,1,,18069,,,,1790,,,,,,,1,no,no,,,
DR162,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/21",,Pearl,,,,1,,18078,,,,1790,,,,,,,1,no,no,,,
DR163,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/27",,Ruby,,,,1,,18084,,,,1790,,,,,,,1,no,no,,,
DR164,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/12",,Gibson,,,,1,,,,,,1791,,,,,,,1,with estimates,no,,4,Cannot find matching entry in TSTD
DR165,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/14",,James,,,,1,,,,,,1791,,,,,,,1,no,no,,4,Cannot find matching entry in TSTD
DR166,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/21",,Morning Star,,,,1,,18153,,,,1791,,,,,,,1,with estimates,no,,,
DR167,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/28",,Recovery,,,,1,,18116,,,,1791,,,,,,,1,with estimates,no,,,
DR168,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/29",,Rodney,,,,1,,18117,,,,1791,,,,,,,1,no,yes,,,
DR169,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/31",,St Patrick,,,,1,,,,,,1791,,,,,,,1,no,no,,3,Cannot find matching entry in TSTD
DR170,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/32",,Sarah,,,,1,,18120,,,,1791,,,,,,,1,no,no,,,
DR171,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/34",,Swift,,,,1,,18122,,,,1791,,,,,,,1,no,no,,,
DR172,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/36",,Trelawney,,,,1,,18124,,,,1791,,,,,,,1,with estimates,no,,,
DR173,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/3",,African Queen,,,,1,,18129,,,,1792,,,,,,,1,with estimates,no,,,
DR174,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/8",,Crescent,,,,1,,18134,,,,1792,,,,,,,1,with estimates,no,,,
DR175,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/9",,Dragon,,,,1,,,,,,1792,,,,,,,1,no,no,,4,Cannot find matching entry in TSTD
DR176,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/11",,Experiment,,,,1,,,,,,1792,,,,,,,1,no,no,,4,Cannot find matching entry in TSTD
DR177,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/12",,Fame,,,,1,,18138,,,,1792,,,,,,,1,with estimates,with estimates,,,
DR178,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/20",,Jupiter,,,,1,,18146,,,,1792,,,,,,,1,with estimates,no,,,
DR179,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/27",,Morning Star,,,,1,,18153,,,,1792,,,,,,,1,with estimates,no,,,
DR180,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/31",,Pearl,,,,1,,18157,,,,1792,,,,,,,1,with estimates,no,,,
DR181,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/36",,Rodney,,,,1,,18162,,,,1792,,,,,,,1,with estimates,no,,,
DR182,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/41",,Sarah,,,,1,,18167,,,,1792,,,,,,,1,with estimates,no,,,
DR183,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/43",,Swift,,,,1,,18169,,,,1792,,,,,,,1,with estimates,no,,,
DR184,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/47",,Young Crescent,,,,1,,,,,,1792,,,,,,,1,no,no,,2,Cannot find matching entry in TSTD
DR185,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1793/8",,Langrishe,,,,1,,18182,,,,1793,,,,,,,1,no,no,,,
DR186,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 47",,Portugal Galley,,,,1,,76419,,,,1722,,,,,,,1,yes,no,,,
DR187,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 59",,Martha,,,,1,,76414,,,,1724,,,,,,,1,yes,no,,,
DR188,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 62",,Betty Gally,,,,1,,75155,,,,1725-01-26,,,,,,,1,yes,no,,,
DR189,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 63",,Anne,,,,1,,76386,,,,1725-03-25,,,,,,,1,with estimates,no,,,
DR190,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 64",,Ruby,,,,1,,76429,,,,1725-07,,,,,,,1,with estimates,no,,,
DR191,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 65",,Catherine,,,,1,,76408,,,,1725-08-24,,,,,,,1,with estimates,no,,,
DR192,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 66",,Squirrel,,,,1,,76633,,,,1725-08,,,,,,,1,with estimates,no,,,
DR193,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 67",,Italian Galley,,,,1,,76557,,,,1725-08-30,,,,,,,1,with estimates,no,,,
DR194,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 68",,Molly,,,,1,,,,,,1725-10,,,,,,,1,no,no,,,No matching entry in TSTD according to Mitchell
DR195,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 69",,Martha,,,,1,,76670,,,,1725-11-07,,,,,,,1,with estimates,no,,,
DR196,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 70",,Judith,,,,1,,76622,,,,1726-01,,,,,,,1,with estimates,no,,,
DR197,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 71",,Squirrel,,,,1,,77015,,,,1726-07-06,,,,,,,1,with estimates,no,,,
DR198,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 72",,Judith,,,,1,,26105,,,,1726-08-03,,,,,,,1,with estimates,no,,,
DR199,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 74",,Portugal Galley,,,,1,,76673,,,,1726-11-07,,,,,,,1,with estimates,no,,,
DR200,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 75",,Katherine,,,,1,,75248,,,,1726-12-27,,,,,,,1,with estimates,no,,,
DR201,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 76",,Italian Galley,,,,1,,76403,,,,1726-12-27,,,,,,,1,with estimates,no,,,
DR202,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 77",,Squirrel,,,,1,,76533,,,,1727-09-27,,,,,,,1,with estimates,no,,,
DR203,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 78",,Judith,,,,1,,77025,,,,1727-07-02,,,,,,,1,with estimates,no,,,
DR204,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 80",,Judith,,,,1,,76559,,,,1728-07-20,,,,,,,1,no,no,,,
DR205,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 91",,Morice,,,,1,,76413,,,,1730-06-18,,,,,,,0.125,no,no,,,
DR206,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 92",,Betty Gally,,,,1,,76735,,,,1730-07-29,,,,,,,1,with estimates,no,,,
DR207,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 97",,Katherine Gally,,,,1,,76565,,,,1730-09-22,,,,,,,1,yes,no,,,
DR208,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 98",,Anne Gally,,,,1,,76742,,,,1730-10,,,,,,,1,with estimates,no,,,
DR209,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 99",,Margaret,,,,1,,76765,,,,1731-04-20,,,,,,,0.25,no,no,,,
DR210,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 100",,Squirrel,,,,1,,76766,,,,1731-05-26,,,,,,,1,with estimates,no,,,
DR211,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 101",,Sarah,,,,1,,76767,,,,1731-05-26,,,,,,,1,with estimates,no,,,
DR212,Voyage,Klas Rönnbäck,Investor,English,"Mitchell 2020, ship 103",,Martha,,,,1,,76773,,,,1731-09,,,,,,,1,with estimates,no,,,
