VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,estimate,dateoftransaction,timing,currency,remarks
GK079,Expenditure,Value of ship before departure,3000,,,,,Outfitting,Dutch Guilder,
GK079,Expenditure,Outfitting costs,16429,,,,,Outfitting,Dutch Guilder,
GK079,Expenditure,Advance crew payment,1378,,,,,Outfitting,Dutch Guilder,
GK079,Expenditure,Insurance hull,1092,,,,,Outfitting,Dutch Guilder,
GK079,Expenditure,Insurance cargo,1101,,,,,Outfitting,Dutch Guilder,
GK079,Expenditure,Trade cargo costs,30621,,,,,Outfitting,Dutch Guilder,
GK079,Expenditure,Other expenses,5297,,,,,Outfitting,Dutch Guilder,
GK079,Return,Value of ship after voyage,3000,,,,,Return,Dutch Guilder,
GK079,Return,Bills of exchange sold,70840,,,,,Return,Dutch Guilder,
GK079,Return,Freight and passengers,3190,,,,,Return,Dutch Guilder,
GK079,Return,African goods sold,166,,,,,Return,Dutch Guilder,
GK079,Expenditure,Wages crew (including bonuses),9823,,,,,Return,Dutch Guilder,
GK079,Expenditure,Other expenses,2875,,,,,Return,Dutch Guilder,
GK080,Expenditure,Value of ship before departure,3000,,,,,Outfitting,Dutch Guilder,
GK080,Expenditure,Outfitting costs,15198,,,,,Outfitting,Dutch Guilder,
GK080,Expenditure,Advance crew payment,1376,,,,,Outfitting,Dutch Guilder,
GK080,Expenditure,Insurance hull,825,,,,,Outfitting,Dutch Guilder,
GK080,Expenditure,Insurance cargo,1108,,,,,Outfitting,Dutch Guilder,
GK080,Expenditure,Trade cargo costs,32366,,,,,Outfitting,Dutch Guilder,
GK080,Expenditure,Other expenses,5794,,,,,Outfitting,Dutch Guilder,
GK080,Return,Value of ship after voyage,2478,,,,,Return,Dutch Guilder,
GK080,Return,Plantation produce received,920,,,,,Return,Dutch Guilder,
GK080,Return,Outstanding claims,56314,credit,,,,Return,Dutch Guilder,
GK080,Return,Freight and passengers,2848,,,,,Return,Dutch Guilder,
GK080,Return,African goods sold,8014,,,,,Return,Dutch Guilder,
GK080,Expenditure,Wages crew (including bonuses),11040,,,,,Return,Dutch Guilder,
GK080,Expenditure,Other expenses,3015,,,,,Return,Dutch Guilder,
GK081,Expenditure,Value of ship before departure,9000,,,,,Outfitting,Dutch Guilder,
GK081,Expenditure,Outfitting costs,11718,,,,,Outfitting,Dutch Guilder,
GK081,Expenditure,Advance crew payment,1274,,,,,Outfitting,Dutch Guilder,
GK081,Expenditure,Insurance hull,1467,,,,,Outfitting,Dutch Guilder,
GK081,Expenditure,Insurance cargo,1468,,,,,Outfitting,Dutch Guilder,
GK081,Expenditure,Trade cargo costs,27423,,,,,Outfitting,Dutch Guilder,
GK081,Expenditure,Other expenses,5997,,,,,Outfitting,Dutch Guilder,
GK081,Return,Value of ship after voyage,6000,,,,,Return,Dutch Guilder,
GK081,Return,Bills of exchange sold,37121,,,,,Return,Dutch Guilder,
GK081,Return,Bills of exchange protested,606,,,,,Return,Dutch Guilder,
GK081,Return,Plantation produce received,1196,,,,,Return,Dutch Guilder,
GK081,Return,Freight and passengers,304,,,,,Return,Dutch Guilder,
GK081,Return,African goods sold,175,,,,,Return,Dutch Guilder,
GK081,Expenditure,Wages crew (including bonuses),9959,,,,,Return,Dutch Guilder,
GK081,Expenditure,Other expenses,572,,,,,Return,Dutch Guilder,
GK082,Expenditure,Value of ship before departure,6000,,,,,Outfitting,Dutch Guilder,
GK082,Expenditure,Outfitting costs,12818,,,,,Outfitting,Dutch Guilder,
GK082,Expenditure,Advance crew payment,1861,,,,,Outfitting,Dutch Guilder,
GK082,Expenditure,Insurance hull,1339,,,,,Outfitting,Dutch Guilder,
GK082,Expenditure,Insurance cargo,1468,,,,,Outfitting,Dutch Guilder,
GK082,Expenditure,Trade cargo costs,28061,,,,,Outfitting,Dutch Guilder,
GK082,Expenditure,Other expenses,7567,,,,,Outfitting,Dutch Guilder,
GK082,Return,Value of ship after voyage,3000,,,,,Return,Dutch Guilder,
GK082,Return,Plantation produce received,87068,,,,,Return,Dutch Guilder,
GK082,Return,Outstanding claims,54659,credit,,,,Return,Dutch Guilder,
GK082,Return,Returned trade cargo,269,,,,,Return,Dutch Guilder,
GK082,Expenditure,Wages crew (including bonuses),10293,,,,,Return,Dutch Guilder,
GK082,Expenditure,Insurance on return,3405,,,,,Return,Dutch Guilder,
GK082,Expenditure,Other expenses,4182,,,,,Return,Dutch Guilder,
GK083,Expenditure,Value of ship before departure,3000,,,,,Outfitting,Dutch Guilder,
GK083,Expenditure,Outfitting costs,11776,,,,,Outfitting,Dutch Guilder,
GK083,Expenditure,Advance crew payment,2068,,,,,Outfitting,Dutch Guilder,
GK083,Expenditure,Insurance hull,1095,,,,,Outfitting,Dutch Guilder,
GK083,Expenditure,Insurance cargo,1407,,,,,Outfitting,Dutch Guilder,
GK083,Expenditure,Trade cargo costs,32667,,,,,Outfitting,Dutch Guilder,
GK083,Expenditure,Other expenses,6065,,,,,Outfitting,Dutch Guilder,
GK083,Return,Plantation produce received,67123,,,,,Return,Dutch Guilder,
GK083,Return,Outstanding claims,16100,credit,,,,Return,Dutch Guilder,
GK083,Return,Returned trade cargo,4529,,,,,Return,Dutch Guilder,
GK083,Expenditure,Wages crew (including bonuses),11984,,,,,Return,Dutch Guilder,
GK083,Expenditure,Insurance on return,1576,,,,,Return,Dutch Guilder,
GK083,Expenditure,Other expenses,2658,,,,,Return,Dutch Guilder,
GK084,Expenditure,Outfitting costs,15767,,,,,Outfitting,Dutch Guilder,
GK084,Expenditure,Advance crew payment,2026,,,,,Outfitting,Dutch Guilder,
GK084,Expenditure,Insurance hull,1346,,,,,Outfitting,Dutch Guilder,
GK084,Expenditure,Insurance cargo,1117,,,,,Outfitting,Dutch Guilder,
GK084,Expenditure,Trade cargo costs,33923,,,,,Outfitting,Dutch Guilder,
GK084,Expenditure,Other expenses,6149,,,,,Outfitting,Dutch Guilder,
GK084,Return,Value of ship after voyage,7200,,,,,Return,Dutch Guilder,
GK084,Return,Bills of exchange sold,78259,,,,,Return,Dutch Guilder,
GK084,Return,Bills of exchange protested,4320,,,,,Return,Dutch Guilder,
GK084,Return,Outstanding claims,525,credit,,,,Return,Dutch Guilder,
GK084,Return,Freight and passengers,6134,,,,,Return,Dutch Guilder,
GK084,Return,Insurance claim,2594,,,,,Return,Dutch Guilder,
GK084,Expenditure,Wages crew (including bonuses),11829,,,,,Return,Dutch Guilder,
GK084,Expenditure,Insurance on return,73,,,,,Return,Dutch Guilder,
GK084,Expenditure,Other expenses,581,,,,,Return,Dutch Guilder,
GK085,Expenditure,Value of ship before departure,7200,,,,,Outfitting,Dutch Guilder,
GK085,Expenditure,Outfitting costs,15830,,,,,Outfitting,Dutch Guilder,
GK085,Expenditure,Advance crew payment,1485,,,,,Outfitting,Dutch Guilder,
GK085,Expenditure,Insurance hull,834,,,,,Outfitting,Dutch Guilder,
GK085,Expenditure,Insurance cargo,1493,,,,,Outfitting,Dutch Guilder,
GK085,Expenditure,Trade cargo costs,34376,,,,,Outfitting,Dutch Guilder,
GK085,Expenditure,Other expenses,6579,,,,,Outfitting,Dutch Guilder,
GK085,Return,Value of ship after voyage,6600,,,,,Return,Dutch Guilder,
GK085,Return,Outstanding claims,63916,credit,,,,Return,Dutch Guilder,
GK085,Return,Returned trade cargo,4,,,,,Return,Dutch Guilder,
GK085,Expenditure,Wages crew (including bonuses),11438,,,,,Return,Dutch Guilder,
GK085,Expenditure,Other expenses,5181,,,,,Return,Dutch Guilder,
GK086,Expenditure,Value of ship before departure,6600,,,,,Outfitting,Dutch Guilder,
GK086,Expenditure,Outfitting costs,20257,,,,,Outfitting,Dutch Guilder,
GK086,Expenditure,Advance crew payment,1622,,,,,Outfitting,Dutch Guilder,
GK086,Expenditure,Insurance hull,830,,,,,Outfitting,Dutch Guilder,
GK086,Expenditure,Insurance cargo,1485,,,,,Outfitting,Dutch Guilder,
GK086,Expenditure,Trade cargo costs,37065,,,,,Outfitting,Dutch Guilder,
GK086,Expenditure,Other expenses,6101,,,,,Outfitting,Dutch Guilder,
GK086,Return,Value of ship after voyage,4800,,,,,Return,Dutch Guilder,
GK086,Return,Bills of exchange sold,66864,,,,,Return,Dutch Guilder,
GK086,Return,Outstanding claims,124,credit,,,,Return,Dutch Guilder,
GK086,Return,Freight and passengers,100,,,,,Return,Dutch Guilder,
GK086,Return,Returned trade cargo,687,,,,,Return,Dutch Guilder,
GK086,Expenditure,Wages crew (including bonuses),10969,,,,,Return,Dutch Guilder,
GK086,Expenditure,Other expenses,2927,,,,,Return,Dutch Guilder,
GK087,Expenditure,Value of ship before departure,4800,,,,,Outfitting,Dutch Guilder,
GK087,Expenditure,Outfitting costs,17632,,,,,Outfitting,Dutch Guilder,
GK087,Expenditure,Advance crew payment,1727,,,,,Outfitting,Dutch Guilder,
GK087,Expenditure,Insurance hull,830,,,,,Outfitting,Dutch Guilder,
GK087,Expenditure,Insurance cargo,1301,,,,,Outfitting,Dutch Guilder,
GK087,Expenditure,Trade cargo costs,39320,,,,,Outfitting,Dutch Guilder,
GK087,Expenditure,Other expenses,6448,,,,,Outfitting,Dutch Guilder,
GK087,Return,Value of ship after voyage,2400,,,,,Return,Dutch Guilder,
GK087,Return,Bills of exchange sold,50121,,,,,Return,Dutch Guilder,
GK087,Return,Outstanding claims,35994,credit,,,,Return,Dutch Guilder,
GK087,Return,Returned trade cargo,1035,,,,,Return,Dutch Guilder,
GK087,Expenditure,Wages crew (including bonuses),11132,,,,,Return,Dutch Guilder,
GK087,Expenditure,Other expenses,1235,,,,,Return,Dutch Guilder,
GK088,Expenditure,Value of ship before departure,2400,,,,,Outfitting,Dutch Guilder,
GK088,Expenditure,Outfitting costs,17660,,,,,Outfitting,Dutch Guilder,
GK088,Expenditure,Advance crew payment,1862,,,,,Outfitting,Dutch Guilder,
GK088,Expenditure,Insurance hull,816,,,,,Outfitting,Dutch Guilder,
GK088,Expenditure,Insurance cargo,1470,,,,,Outfitting,Dutch Guilder,
GK088,Expenditure,Trade cargo costs,36715,,,,,Outfitting,Dutch Guilder,
GK088,Expenditure,Other expenses,6813,,,,,Outfitting,Dutch Guilder,
GK088,Return,Outstanding claims,48315,credit,,,,Return,Dutch Guilder,
GK088,Return,Returned trade cargo,104,,,,,Return,Dutch Guilder,
GK088,Return,Sale of ship,2937,,,,,Return,Dutch Guilder,
GK088,Expenditure,Wages crew (including bonuses),10612,,,,,Return,Dutch Guilder,
GK088,Expenditure,Other expenses,3273,,,,,Return,Dutch Guilder,
GK089,Expenditure,Value of ship before departure,33000,,,,,Outfitting,Dutch Guilder,
GK089,Expenditure,Outfitting costs,16122,,,,,Outfitting,Dutch Guilder,
GK089,Expenditure,Advance crew payment,1833,,,,,Outfitting,Dutch Guilder,
GK089,Expenditure,Insurance hull,1664,,,,,Outfitting,Dutch Guilder,
GK089,Expenditure,Insurance cargo,1854,,,,,Outfitting,Dutch Guilder,
GK089,Expenditure,Trade cargo costs,73289,,,,,Outfitting,Dutch Guilder,
GK089,Expenditure,Other expenses,6935,,,,,Outfitting,Dutch Guilder,
GK089,Return,Value of ship after voyage,30000,,,,,Return,Dutch Guilder,
GK089,Return,Bills of exchange sold,100202,,,,,Return,Dutch Guilder,
GK089,Return,Outstanding claims,28473,credit,,,,Return,Dutch Guilder,
GK089,Return,Freight and passengers,3299,,,,,Return,Dutch Guilder,
GK089,Expenditure,Wages crew (including bonuses),13196,,,,,Return,Dutch Guilder,
GK089,Expenditure,Other expenses,2255,,,,,Return,Dutch Guilder,
GK090,Expenditure,Value of ship before departure,3153,,,,,Outfitting,Dutch Guilder,
GK090,Expenditure,Outfitting costs,16114,,,,,Outfitting,Dutch Guilder,
GK090,Expenditure,Advance crew payment,1352,,,,,Outfitting,Dutch Guilder,
GK090,Expenditure,Insurance hull,830,,,,,Outfitting,Dutch Guilder,
GK090,Expenditure,Insurance cargo,1116,,,,,Outfitting,Dutch Guilder,
GK090,Expenditure,Trade cargo costs,27339,,,,,Outfitting,Dutch Guilder,
GK090,Expenditure,Other expenses,4724,,,,,Outfitting,Dutch Guilder,
GK090,Return,Value of ship after voyage,6000,,,,,Return,Dutch Guilder,
GK090,Return,Bills of exchange sold,75706,,,,,Return,Dutch Guilder,
GK090,Return,Outstanding claims,3810,,,,,Return,Dutch Guilder,
GK090,Return,Freight and passengers,500,,,,,Return,Dutch Guilder,
GK090,Expenditure,Wages crew (including bonuses),9015,,,,,Return,Dutch Guilder,
GK090,Expenditure,Other expenses,1351,,,,,Return,Dutch Guilder,
GK091,Expenditure,Value of ship before departure,6000,,,,,Outfitting,Dutch Guilder,
GK091,Expenditure,Outfitting costs,11685,,,,,Outfitting,Dutch Guilder,
GK091,Expenditure,Advance crew payment,1358,,,,,Outfitting,Dutch Guilder,
GK091,Expenditure,Insurance hull,816,,,,,Outfitting,Dutch Guilder,
GK091,Expenditure,Insurance cargo,1101,,,,,Outfitting,Dutch Guilder,
GK091,Expenditure,Trade cargo costs,35579,,,,,Outfitting,Dutch Guilder,
GK091,Expenditure,Other expenses,5199,,,,,Outfitting,Dutch Guilder,
GK091,Return,Value of ship after voyage,5400,,,,,Return,Dutch Guilder,
GK091,Return,Bills of exchange sold,48848,,,,,Return,Dutch Guilder,
GK091,Return,Outstanding claims,10316,credit,,,,Return,Dutch Guilder,
GK091,Return,Returned trade cargo,484,,,,,Return,Dutch Guilder,
GK091,Expenditure,Wages crew (including bonuses),6991,,,,,Return,Dutch Guilder,
GK091,Expenditure,Other expenses,3010,,,,,Return,Dutch Guilder,
GK092,Expenditure,Value of ship before departure,5400,,,,,Outfitting,Dutch Guilder,
GK092,Expenditure,Outfitting costs,13063,,,,,Outfitting,Dutch Guilder,
GK092,Expenditure,Advance crew payment,1360,,,,,Outfitting,Dutch Guilder,
GK092,Expenditure,Insurance hull,816,,,,,Outfitting,Dutch Guilder,
GK092,Expenditure,Insurance cargo,1100,,,,,Outfitting,Dutch Guilder,
GK092,Expenditure,Trade cargo costs,29648,,,,,Outfitting,Dutch Guilder,
GK092,Expenditure,Other expenses,5551,,,,,Outfitting,Dutch Guilder,
GK092,Return,Value of ship after voyage,2579,,,,,Return,Dutch Guilder,
GK092,Return,Bills of exchange sold,20563,,,,,Return,Dutch Guilder,
GK092,Return,Outstanding claims,46662,credit,,,,Return,Dutch Guilder,
GK092,Return,Freight and passengers,200,,,,,Return,Dutch Guilder,
GK092,Expenditure,Wages crew (including bonuses),7786,,,,,Return,Dutch Guilder,
GK092,Expenditure,Other expenses,954,,,,,Return,Dutch Guilder,
GK093,Expenditure,Value of ship before departure,15000,,,,,Outfitting,Dutch Guilder,
GK093,Expenditure,Outfitting costs,12351,,,,,Outfitting,Dutch Guilder,
GK093,Expenditure,Advance crew payment,1360,,,,,Outfitting,Dutch Guilder,
GK093,Expenditure,Insurance hull,1107,,,,,Outfitting,Dutch Guilder,
GK093,Expenditure,Insurance cargo,1301,,,,,Outfitting,Dutch Guilder,
GK093,Expenditure,Trade cargo costs,30185,,,,,Outfitting,Dutch Guilder,
GK093,Expenditure,Other expenses,4393,,,,,Outfitting,Dutch Guilder,
GK093,Return,Value of ship after voyage,12000,,,,,Return,Dutch Guilder,
GK093,Return,Bills of exchange sold,15920,,,,,Return,Dutch Guilder,
GK093,Return,African goods sold,50022,,,,,Return,Dutch Guilder,
GK093,Return,Insurance claim,3934,,,,,Return,Dutch Guilder,
GK093,Return,Returned trade cargo,1380,,,,,Return,Dutch Guilder,
GK093,Expenditure,Wages crew (including bonuses),8411,,,,,Return,Dutch Guilder,
GK093,Expenditure,Insurance on return,757,,,,,Return,Dutch Guilder,
GK093,Expenditure,Other expenses,2090,,,,,Return,Dutch Guilder,
GK094,Expenditure,Value of ship before departure,12000,,,,,Outfitting,Dutch Guilder,
GK094,Expenditure,Outfitting costs,14064,,,,,Outfitting,Dutch Guilder,
GK094,Expenditure,Advance crew payment,1388,,,,,Outfitting,Dutch Guilder,
GK094,Expenditure,Insurance hull,1107,,,,,Outfitting,Dutch Guilder,
GK094,Expenditure,Insurance cargo,1116,,,,,Outfitting,Dutch Guilder,
GK094,Expenditure,Trade cargo costs,31089,,,,,Outfitting,Dutch Guilder,
GK094,Expenditure,Other expenses,4604,,,,,Outfitting,Dutch Guilder,
GK094,Return,Value of ship after voyage,9000,,,,,Return,Dutch Guilder,
GK094,Return,Bills of exchange sold,42863,,,,,Return,Dutch Guilder,
GK094,Return,African goods sold,15886,,,,,Return,Dutch Guilder,
GK094,Return,Insurance claim,1140,,,,,Return,Dutch Guilder,
GK094,Expenditure,Wages crew (including bonuses),9082,,,,,Return,Dutch Guilder,
GK094,Expenditure,Insurance on return,190,,,,,Return,Dutch Guilder,
GK094,Expenditure,Other expenses,3408,,,,,Return,Dutch Guilder,
GK095,Expenditure,Value of ship before departure,9000,,,,,Outfitting,Dutch Guilder,
GK095,Expenditure,Outfitting costs,13005,,,,,Outfitting,Dutch Guilder,
GK095,Expenditure,Advance crew payment,2069,,,,,Outfitting,Dutch Guilder,
GK095,Expenditure,Insurance hull,885,,,,,Outfitting,Dutch Guilder,
GK095,Expenditure,Insurance cargo,1116,,,,,Outfitting,Dutch Guilder,
GK095,Expenditure,Trade cargo costs,24908,,,,,Outfitting,Dutch Guilder,
GK095,Expenditure,Other expenses,5115,,,,,Outfitting,Dutch Guilder,
GK095,Return,Outstanding claims,29984,credit,,,,Return,Dutch Guilder,
GK095,Return,African goods sold,15578,,,,,Return,Dutch Guilder,
GK095,Return,Insurance claim,2135,,,,,Return,Dutch Guilder,
GK095,Return,Returned trade cargo,2353,,,,,Return,Dutch Guilder,
GK095,Return,Sale of ship,2924,,,,,Return,Dutch Guilder,
GK095,Expenditure,Wages crew (including bonuses),11425,,,,,Return,Dutch Guilder,
GK095,Expenditure,Other expenses,5614,,,,,Return,Dutch Guilder,
GK096,Expenditure,Value of ship before departure,42000,,,,,Outfitting,Dutch Guilder,
GK096,Expenditure,Outfitting costs,7573,,,,,Outfitting,Dutch Guilder,
GK096,Expenditure,Advance crew payment,1616,,,,,Outfitting,Dutch Guilder,
GK096,Expenditure,Insurance hull,5609,,,,,Outfitting,Dutch Guilder,
GK096,Expenditure,Insurance cargo,6276,,,,,Outfitting,Dutch Guilder,
GK096,Expenditure,Trade cargo costs,50517,,,,,Outfitting,Dutch Guilder,
GK096,Expenditure,Other expenses,9913,,,,,Outfitting,Dutch Guilder,
GK096,Return,Value of ship after voyage,36000,,,,,Return,Dutch Guilder,
GK096,Return,Bills of exchange sold,25070,,,,,Return,Dutch Guilder,
GK096,Return,Plantation produce received,16689,,,,,Return,Dutch Guilder,
GK096,Return,Freight and passengers,5143,,,,,Return,Dutch Guilder,
GK096,Return,African goods sold,7492,,,,,Return,Dutch Guilder,
GK096,Return,Insurance claim,12412,,,,,Return,Dutch Guilder,
GK096,Return,Returned trade cargo,2888,,,,,Return,Dutch Guilder,
GK096,Expenditure,Wages crew (including bonuses),15964,,,,,Return,Dutch Guilder,
GK096,Expenditure,Insurance on return,5813,,,,,Return,Dutch Guilder,
GK096,Expenditure,Other expenses,9051,,,,,Return,Dutch Guilder,
GK097,Expenditure,Value of ship before departure,29620,,,,,Outfitting,Dutch Guilder,
GK097,Expenditure,Outfitting costs,24288,,,,,Outfitting,Dutch Guilder,
GK097,Expenditure,Advance crew payment,1621,,,,,Outfitting,Dutch Guilder,
GK097,Expenditure,Insurance hull,5130,,,,,Outfitting,Dutch Guilder,
GK097,Expenditure,Insurance cargo,5130,,,,,Outfitting,Dutch Guilder,
GK097,Expenditure,Trade cargo costs,41300,,,,,Outfitting,Dutch Guilder,
GK097,Expenditure,Other expenses,4809,,,,,Outfitting,Dutch Guilder,
GK097,Return,Value of ship after voyage,30000,,,,,Return,Dutch Guilder,
GK097,Return,Bills of exchange sold,83628,,,,,Return,Dutch Guilder,
GK097,Return,Plantation produce received,121,,,,,Return,Dutch Guilder,
GK097,Return,African goods sold,4468,,,,,Return,Dutch Guilder,
GK097,Return,Returned trade cargo,1081,,,,,Return,Dutch Guilder,
GK097,Expenditure,Wages crew (including bonuses),15966,,,,,Return,Dutch Guilder,
GK097,Expenditure,Insurance on return,15,,,,,Return,Dutch Guilder,
GK097,Expenditure,Other expenses,1278,,,,,Return,Dutch Guilder,
GK098,Expenditure,Value of ship before departure,36000,,,,,Outfitting,Dutch Guilder,
GK098,Expenditure,Outfitting costs,13950,,,,,Outfitting,Dutch Guilder,
GK098,Expenditure,Advance crew payment,2035,,,,,Outfitting,Dutch Guilder,
GK098,Expenditure,Insurance hull,2014,,,,,Outfitting,Dutch Guilder,
GK098,Expenditure,Insurance cargo,2372,,,,,Outfitting,Dutch Guilder,
GK098,Expenditure,Trade cargo costs,51957,,,,,Outfitting,Dutch Guilder,
GK098,Expenditure,Other expenses,8070,,,,,Outfitting,Dutch Guilder,
GK098,Return,Value of ship after voyage,33000,,,,,Return,Dutch Guilder,
GK098,Return,Bills of exchange sold,33618,,,,,Return,Dutch Guilder,
GK098,Return,Plantation produce received,27920,,,,,Return,Dutch Guilder,
GK098,Return,Outstanding claims,10450,,,,,Return,Dutch Guilder,
GK098,Return,Freight and passengers,9595,,,,,Return,Dutch Guilder,
GK098,Return,African goods sold,29794,,,,,Return,Dutch Guilder,
GK098,Return,Returned trade cargo,20,,,,,Return,Dutch Guilder,
GK098,Expenditure,Wages crew (including bonuses),15555,,,,,Return,Dutch Guilder,
GK098,Expenditure,Insurance on return,2265,,,,,Return,Dutch Guilder,
GK098,Expenditure,Other expenses,5994,,,,,Return,Dutch Guilder,
